Title,Genre,,,,Date_of_film,Language
Hillbilly Elegy,Drama,,,,2020,English
Hope Frozen: A Quest to Live Twice,Documentary,,,,2020,Thia/English
Imperial Dreams,Drama,,,,2017,English
Just Another Christmas,Comedy,,,,2020,Portuguese
Little Miss Sumo,Documentary,,,,2019,Japanese
Malcolm & Marie,Romantic drama,,,,2021,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,,,,2017,English
Moxie,Drama,,,,2021,English
Night in Paradise,Drama,,,,2021,Korean
Paper Lives,Drama,,,,2021,Turkish
Parchis: The Documentary,Documentary,,,,2019,Spanish
Tallulah,Comedy-drama,,,,2016,English
The Old Guard,Superhero/Action,,,,2020,English
Tony Robbins: I Am Not Your Guru,Documentary,,,,2016,English
Upstarts,Drama,,,,2019,Hindi
22-Jul,Drama,,,,2018,English
7 años,Drama,,,,2016,Spanish
A Futile and Stupid Gesture,Biographical/Comedy,,,,2018,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,,,,2020,Spanish
A Love Song for Latasha,Documentary,,,,2020,English
All in My Family,Documentary,,,,2019,English/Mandarin
Always Be My Maybe,Romantic comedy,,,,2019,English
Becoming,Documentary,,,,2020,English
Long Live Brij Mohan,Comedy,,,,2018,Hindi
Calibre,Thriller,,,,2018,English
Death to 2020,Comedy,,,,2020,English
GIMS: On the Record,Documentary,,,,2020,French
Have a Good Trip: Adventures in Psychedelics,Documentary,,,,2020,English
Heroin(e) ,Documentary,,,,2017,English
Mercury 13,Documentary,,,,2018,English
Saving Capitalism,Documentary,,,,2017,English
Serious Men,Drama,,,,2020,Hindi
The Boys in the Band,Drama,,,,2020,English
The Boys in the Band: Something Personal,Aftershow / Interview,,,,2020,English
The Life Ahead,Drama,,,,2020,Italian
The Other Side of the Wind,Drama,,,,2018,English
The Trader,Documentary,,,,2018,Georgian
To the Bone,Drama,,,,2017,English
Tony Parker: The Final Shot,Documentary,,,,2021,French
AK vs AK,Thriller,,,,2020,Hindi
Amanda Knox,Documentary,,,,2016,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,,,,2020,French
Biggie: I Got a Story to Tell,Documentary,,,,2021,English
Cops and Robbers,Animation / Short,,,,2020,English
I Don't Feel at Home in This World Anymore,Drama,,,,2017,English
Laerte-se,Documentary,,,,2017,Portuguese
Mank,Biopic,,,,2020,English
Our Souls at Night,Romance,,,,2017,English
Outlaw King,Historical-epic,,,,2018,English
Pagglait,Comedy-drama,,,,2021,Hindi
ReMastered: Who Shot the Sheriff?,Documentary,,,,2018,English
Seeing Allred,Documentary,,,,2018,English
Spelling the Dream,Documentary,,,,2020,English
The Claudia Kishi Club,Documentary,,,,2020,English
The Half of It,Romance,,,,2020,English
The Highwaymen,Crime drama,,,,2019,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,,,,2019,English
The Meyerowitz Stories (New and Selected),Comedy-drama,,,,2017,English
Feminists: What Were They Thinking?,Documentary,,,,2018,English
Gaga: Five Foot Two,Documentary,,,,2017,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,,,,2020,English
Kingdom of Us,Documentary,,,,2017,English
"Lorena, Light-Footed Woman",Documentary,,,,2019,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,,,,2019,Spanish
Ma Rainey's Black Bottom,Drama,,,,2020,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,,,,2020,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,,,,2021,English
Pele,Documentary,,,,2021,English
ReMastered: Devil at the Crossroads,Documentary,,,,2019,English
ReMastered: The Lion's Share,Documentary,,,,2019,English
ReMastered: The Miami Showband Massacre,Documentary,,,,2019,English
Resurface,Documentary,,,,2017,English
Rocko's Modern Life: Static Cling,Animation / Comedy,,,,2019,English
Rose Island,Comedy,,,,2020,Italian
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,,,,2018,English
The Dirt,Biopic,,,,2019,English
The Night Comes for Us,Action-thriller,,,,2018,Indonesian
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,,,,2017,English
Angela's Christmas,Animation,,,,2018,English
Angela's Christmas Wish,Animation,,,,2020,English
Beats,Drama,,,,2019,English
Circus of Books,Documentary,,,,2020,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,,,,2020,English
Derren Brown: Sacrifice,Mentalism special,,,,2018,English
El Pepe: A Supreme Life,Documentary,,,,2019,Spanish
End Game,Documentary,,,,2018,English
Evelyn,Documentary,,,,2019,English
Ferry,Crime drama,,,,2021,Dutch
Grass Is Greener,Documentary,,,,2019,English
Guillermo Vilas: Settling the Score,Documentary,,,,2020,Spanish
Joshua: Teenager vs. Superpower,Documentary,,,,2017,English
Keith Richards: Under the Influence,Documentary,,,,2015,English
Knock Down the House,Documentary,,,,2019,English
Loudon Wainwright III: Surviving Twin,One-man show,,,,2018,English
My Beautiful Broken Brain,Documentary,,,,2016,English
One of Us,Documentary,,,,2017,English
Pieces of a Woman,Drama,,,,2021,English
"Ram Dass, Going Home",Documentary,,,,2018,English
ReMastered: Tricky Dick & the Man in Black,Documentary,,,,2018,English
Rooting for Roona,Documentary,,,,2020,Bengali
The Devil All the Time,Psychological thriller,,,,2020,English
The Dig,Drama,,,,2021,English
The Great Hack,Documentary,,,,2019,English
The White Tiger,Drama,,,,2021,English
To All the Boys I've Loved Before,Romantic comedy,,,,2018,English
American Murder: The Family Next Door,Documentary,,,,2020,English
Audrie & Daisy,Documentary,,,,2016,English
First They Killed My Father,Drama,,,,2017,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,,,,2019,English
Into the Inferno,Documentary,,,,2016,English
LA Originals,Documentary,,,,2020,English
Ladies First,Documentary,,,,2018,English/Hindi
Love per Square Foot,Romantic comedy,,,,2018,Hindi
Paddleton,Drama-Comedy,,,,2019,English
Private Life,Drama,,,,2018,English
Seventeen,Coming-of-age comedy-drama,,,,2019,Spanish
Sometimes,Drama,,,,2018,Tamil
Soni,Crime drama,,,,2019,Hindi
The 40-Year-Old Version,Comedy,,,,2020,English
The Disciple,Drama,,,,2021,Marathi
The Edge of Democracy,Documentary,,,,2019,Portuguese
The King,Historical drama,,,,2019,English
The Road to El Camino: A Breaking Bad Movie,Making-of,,,,2019,English
The Siege of Jadotville,War,,,,2016,English
Zion ,Documentary,,,,2018,English
Dolemite Is My Name,Biopic,,,,2019,English
